nf-fa-brush,ee26,
nf-fa-brain,ee9c,
nf-fa-blind,f29d,
nf-fa-bahai,eecb,
nf-fa-bacon,ef77,
nf-fa-award,ee22,
nf-fa-apper,f0bf,
nf-fa-500px,f26e,
nf-dev-zend,e778,
nf-dev-yarn,e8ec,
nf-dev-yaml,e8eb,
nf-dev-wasm,e8e0,
nf-dev-vite,e8d6,
nf-dev-vala,e8d1,
nf-dev-unix,e8cc,
